utterance,pos_neg,pos_neg_neutral
I'm not satisfied with the quality of the treats.,Negative,Negative
My dog didn't enjoy the treats I bought.,Negative,Negative
I'm disappointed with the variety of treats.,Negative,Negative
Your treats are a bit expensive.,Negative,Negative
The treats are a bit too hard for my senior dog.,Negative,Negative
Your treats are a bit too soft for my liking.,Negative,Negative
The treats were a bit stale.,Negative,Negative
Your treats are a bit crumbly.,Negative,Negative
What flavors of dog treats do you have available?,,Neutral
Are your treats suitable for sensitive stomachs?,,Neutral
Can you recommend treats for small breeds?,,Neutral
Are there any discounts on bulk orders of treats?,,Neutral
Tell me more about the ingredients in your treats.,,Neutral
Are there grain-free options available?,,Neutral
Do you offer free samples of your treats?,,Neutral
How can I track my order of dog treats?,,Neutral
My dog has allergies; do you have hypoallergenic treats?,,Neutral
Can I find your treats in local pet stores?,,Neutral
What's the shelf life of your dog treats?,,Neutral
My dog's birthday is coming up; any special treats?,,Neutral
Is there a loyalty program for regular treat buyers?,,Neutral
How can I become a wholesale distributor of your treats?,,Neutral
Can you share some customer testimonials about the treats?,,Neutral
Are there seasonal flavors for the dog treats?,,Neutral
What's the return policy for your treats?,,Neutral
How can I contact customer support regarding my treats?,,Neutral
Can you provide nutritional information for the treats?,,Neutral
Are there any promotions on your treats this month?,,Neutral
What's the recommended daily serving of your treats?,,Neutral
Can you share some tips for storing the treats properly?,,Neutral
Do you offer gift packaging for your dog treats?,,Neutral
Are there any new flavors in your dog treat collection?,,Neutral
Can you provide information on the manufacturing process of your treats?,,Neutral
How are your dog treats packaged for freshness during delivery?,,Neutral
Can you recommend treats suitable for dogs with specific dietary restrictions?,,Neutral
What's the availability of organic options in your dog treat range?,,Neutral
Do you have a newsletter to receive updates on new treat releases and promotions?,,Neutral
Can you guide me on the proper storage of treats to maintain their quality over time?,,Neutral
My dog loves your treats!,Positive,Positive
The packaging of your treats is adorable!,Positive,Positive
The pricing of your treats is reasonable.,Positive,Positive
The treats arrived in perfect condition!,Positive,Positive
Your treats are a hit in our household!,Positive,Positive
The treats were a big hit at the dog park!,Positive,Positive
Your treats are a staple in our monthly pet budget.,Positive,Positive
The treats have a pleasant aroma!,Positive,Positive
Your treats have improved my dog's coat condition!,Positive,Positive
Your treats are the highlight of our training sessions!,Positive,Positive
My dog is a fan of the peanut butter-flavored treats!,Positive,Positive
The treats are a lifesaver during obedience training!,Positive,Positive
